Family#,M_Engineering,M_Advt.Marketing,M_LifeScientist,M_ElementarySchool,M_Writer,M_PhysicalScient,M_BusinessManager,M_PhysicianDr,M_ProfAthlete,M_CounselorTherapist,M_Lawyer,M_CompScientist,M_VisualArtPeformer,M_Mathematician,CareerInterest_STEM,CareerInterest_NonSTEM,ParentWentFirst,VisitType,Child_Gender
101.1,4,1,4,1,3,4,1,3,1,1,2,1,4,1,2.80,1.89,0.00,0.00,0
102.0,3,1,3,3,2,3,1,3,3,2,1,2,4,2,2.60,2.22,2.00,1.00,0
103.0,3,2,3,4,2,2,2,4,1,3,2,2,4,3,2.60,2.67,2.00,1.00,0
104.0,3,3,3,1,1,3,3,3,4,1,3,2,3,1,2.40,2.44,2.00,1.00,1
105.1,4,1,4,1,1,4,4,4,1,1,3,2,1,2,3.20,1.89,1.00,0.00,0
106.1,3,2,4,3,2,4,4,3,3,2,2,3,3,3,3.40,2.67,1.00,0.00,1
107.1,3,1,3,1,3,2,1,2,1,1,1,2,3,2,2.40,1.56,1.00,0.00,0
108.0,4,3,3,3,2,2,1,3,4,4,1,3,4,1,2.60,2.78,2.00,1.00,1
109.0,4,2,4,2,3,3,1,2,2,2,1,2,3,2,3.00,2.00,2.00,1.00,1
110.1,2,1,3,2,1,3,1,2,4,1,2,1,2,2,2.20,1.78,1.00,0.00,1
111.0,4,1,4,4,4,3,3,2,1,3,4,1,1,2,2.80,2.56,2.00,1.00,0
112.0,3,2,3,3,3,3,2,3,1,3,2,2,3,3,2.80,2.44,2.00,1.00,0
113.1,3,#NULL!,3,#NULL!,3,#NULL!,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,3,#NULL!,#NULL!,#NULL!,1.00,0.00,0
114.1,4,1,4,3,2,4,2,2,2,2,2,3,1,2,3.40,1.89,0.00,0.00,1
115.0,4,2,3,2,3,2,2,3,1,3,1,2,3,3,2.80,2.22,2.00,1.00,0
116.0,2,2,3,2,2,2,3,3,2,2,2,2,3,2,2.20,2.33,2.00,1.00,0
117.0,3,2,4,1,4,4,1,1,2,1,2,3,4,3,3.40,2.00,2.00,1.00,1
118.1,3,2,3,3,3,2,3,3,3,3,2,2,4,2,2.40,2.89,0.00,0.00,0
120.0,3,3,3,3,4,3,2,4,2,3,2,3,4,2,2.80,3.00,2.00,1.00,0
121.0,3,1,4,3,2,4,1,2,1,2,1,1,2,2,2.80,1.67,2.00,1.00,1
122.1,3,1,3,1,3,2,1,1,1,1,2,3,3,3,2.80,1.56,1.00,0.00,1
123.1,3,2,4,2,3,3,2,1,1,2,2,2,2,2,2.80,1.89,1.00,0.00,0
125.1,3,3,4,2,4,4,4,4,3,2,4,3,3,4,3.60,3.22,0.00,0.00,0
126.1,4,2,3,2,1,3,2,3,4,1,2,3,2,3,3.20,2.11,0.00,0.00,1
